Episodic Return: 0.1682739555835724, Time Step 1000
Episodic Return: 18.243045806884766, Time Step 2000
Episodic Return: 20.525672912597656, Time Step 3000
Episodic Return: 1.4922651052474976, Time Step 4000
Episodic Return: 0.22456295788288116, Time Step 5000
Episodic Return: 7.692319869995117, Time Step 6000
Episodic Return: 16.486726760864258, Time Step 7000
Episodic Return: 19.720430374145508, Time Step 8000
Episodic Return: 7.102895259857178, Time Step 9000
Episodic Return: 6.389706134796143, Time Step 10000
Episodic Return: 9.062108039855957, Time Step 11000
Episodic Return: 19.169145584106445, Time Step 12000
Episodic Return: 6.449577331542969, Time Step 13000
Episodic Return: 30.6905460357666, Time Step 14000
Episodic Return: 15.711041450500488, Time Step 15000
Episodic Return: 14.316885948181152, Time Step 16000
Episodic Return: 10.800825119018555, Time Step 17000
Episodic Return: 9.291627883911133, Time Step 18000
Episodic Return: 3.106783866882324, Time Step 19000
Episodic Return: 23.391328811645508, Time Step 20000
Episodic Return: 14.973340034484863, Time Step 21000
Episodic Return: 16.44957160949707, Time Step 22000
Episodic Return: 28.856351852416992, Time Step 23000
Episodic Return: 21.638593673706055, Time Step 24000
Episodic Return: 23.248565673828125, Time Step 25000
Episodic Return: 5.174807548522949, Time Step 26000
Episodic Return: 26.722244262695312, Time Step 27000
Episodic Return: 2.073460578918457, Time Step 28000
Episodic Return: 14.865556716918945, Time Step 29000
Episodic Return: 6.854494571685791, Time Step 30000
Episodic Return: 26.79524803161621, Time Step 31000
Episodic Return: 17.174184799194336, Time Step 32000
Episodic Return: 40.075836181640625, Time Step 33000
Episodic Return: 4.362785339355469, Time Step 34000
Episodic Return: 23.48819351196289, Time Step 35000
Episodic Return: 16.26004981994629, Time Step 36000
Episodic Return: 30.106616973876953, Time Step 37000
Episodic Return: 19.307483673095703, Time Step 38000
Episodic Return: 18.11421775817871, Time Step 39000
Episodic Return: 5.735405445098877, Time Step 40000
Episodic Return: 38.08530044555664, Time Step 41000
Episodic Return: 30.285572052001953, Time Step 42000
Episodic Return: 27.304685592651367, Time Step 43000
Episodic Return: 15.349453926086426, Time Step 44000
Episodic Return: 63.637447357177734, Time Step 45000
Episodic Return: 4.639594554901123, Time Step 46000
Episodic Return: 12.11367130279541, Time Step 47000
Episodic Return: 31.159761428833008, Time Step 48000
