Episodic Return: 0.44965532422065735, Time Step 1000
Episodic Return: 0.4262685179710388, Time Step 2000
Episodic Return: 2.38560152053833, Time Step 3000
Episodic Return: 24.77726936340332, Time Step 4000
Episodic Return: 2.301469087600708, Time Step 5000
Episodic Return: 9.024426460266113, Time Step 6000
Episodic Return: 0.6213400959968567, Time Step 7000
Episodic Return: 0.5380821824073792, Time Step 8000
Episodic Return: 0.14492392539978027, Time Step 9000
Episodic Return: 0.7284812927246094, Time Step 10000
Episodic Return: 0.2008921504020691, Time Step 11000
Episodic Return: 0.8088298439979553, Time Step 12000
Episodic Return: 0.9282312989234924, Time Step 13000
Episodic Return: 0.9020878076553345, Time Step 14000
Episodic Return: 0.788352370262146, Time Step 15000
Episodic Return: 0.41930505633354187, Time Step 16000
Episodic Return: 0.2082703709602356, Time Step 17000
Episodic Return: 0.35123828053474426, Time Step 18000
Episodic Return: 2.55427885055542, Time Step 19000
Episodic Return: 0.8940726518630981, Time Step 20000
Episodic Return: 0.29069629311561584, Time Step 21000
Episodic Return: 1.7582809925079346, Time Step 22000
Episodic Return: 0.7443603873252869, Time Step 23000
Episodic Return: 1.7366316318511963, Time Step 24000
Episodic Return: 5.08257532119751, Time Step 25000
Episodic Return: 0.3758406341075897, Time Step 26000
Episodic Return: 0.6360761523246765, Time Step 27000
Episodic Return: 0.6703275442123413, Time Step 28000
Episodic Return: 0.9693424701690674, Time Step 29000
Episodic Return: 2.1515114307403564, Time Step 30000
Episodic Return: 0.19656513631343842, Time Step 31000
Episodic Return: 6.6185221672058105, Time Step 32000
Episodic Return: 9.741048812866211, Time Step 33000
Episodic Return: 2.292613983154297, Time Step 34000
Episodic Return: 0.5725259184837341, Time Step 35000
Episodic Return: 5.095614433288574, Time Step 36000
Episodic Return: 6.282390117645264, Time Step 37000
Episodic Return: 9.697333335876465, Time Step 38000
Episodic Return: 0.13759443163871765, Time Step 39000
Episodic Return: 13.866096496582031, Time Step 40000
Episodic Return: 25.96402359008789, Time Step 41000
Episodic Return: 10.43847370147705, Time Step 42000
Episodic Return: 28.18630027770996, Time Step 43000
Episodic Return: 1.6997103691101074, Time Step 44000
Episodic Return: 11.637484550476074, Time Step 45000
Episodic Return: 11.185260772705078, Time Step 46000
Episodic Return: 12.254944801330566, Time Step 47000
Episodic Return: 33.43898391723633, Time Step 48000
Episodic Return: 70.60830688476562, Time Step 49000
Episodic Return: 24.758167266845703, Time Step 50000
Episodic Return: 23.04313850402832, Time Step 51000
Episodic Return: 5.836825847625732, Time Step 52000
Episodic Return: 3.8171327114105225, Time Step 53000
Episodic Return: 6.086126327514648, Time Step 54000
Episodic Return: 17.019189834594727, Time Step 55000
Episodic Return: 44.80802917480469, Time Step 56000
Episodic Return: 16.17452621459961, Time Step 57000
Episodic Return: 42.18922805786133, Time Step 58000
Episodic Return: 2.054279088973999, Time Step 59000
Episodic Return: 13.975045204162598, Time Step 60000
Episodic Return: 20.12961196899414, Time Step 61000
Episodic Return: 6.842848777770996, Time Step 62000
Episodic Return: 12.104395866394043, Time Step 63000
Episodic Return: 30.255592346191406, Time Step 64000
Episodic Return: 13.519103050231934, Time Step 65000
Episodic Return: 9.817658424377441, Time Step 66000
Episodic Return: 15.810853004455566, Time Step 67000
Episodic Return: 15.478082656860352, Time Step 68000
Episodic Return: 12.952388763427734, Time Step 69000
Episodic Return: 47.39045715332031, Time Step 70000
Episodic Return: 7.0534586906433105, Time Step 71000
Episodic Return: 23.939599990844727, Time Step 72000
Episodic Return: 6.480629920959473, Time Step 73000
Episodic Return: 16.250587463378906, Time Step 74000
Episodic Return: 23.709741592407227, Time Step 75000
Episodic Return: 36.358787536621094, Time Step 76000
Episodic Return: 27.180707931518555, Time Step 77000
Episodic Return: 39.61668395996094, Time Step 78000
Episodic Return: 33.56421661376953, Time Step 79000
Episodic Return: 44.57087707519531, Time Step 80000
Episodic Return: 71.54116821289062, Time Step 81000
Episodic Return: 106.66278839111328, Time Step 82000
Episodic Return: 47.66230392456055, Time Step 83000
Episodic Return: 52.03413772583008, Time Step 84000
Episodic Return: 14.181519508361816, Time Step 85000
Episodic Return: 63.993473052978516, Time Step 86000
Episodic Return: 93.91668701171875, Time Step 87000
Episodic Return: 20.234294891357422, Time Step 88000
Episodic Return: 16.724811553955078, Time Step 89000
Episodic Return: 2.43652606010437, Time Step 90000
Episodic Return: 54.21163558959961, Time Step 91000
Episodic Return: 7.715356826782227, Time Step 92000
Episodic Return: 47.058074951171875, Time Step 93000
Episodic Return: 106.59080505371094, Time Step 94000
Episodic Return: 59.93537521362305, Time Step 95000
Episodic Return: 76.86687469482422, Time Step 96000
Episodic Return: 79.85884094238281, Time Step 97000
Episodic Return: 102.6302261352539, Time Step 98000
Episodic Return: 55.69478988647461, Time Step 99000
Episodic Return: 10.052261352539062, Time Step 100000
Episodic Return: 75.66576385498047, Time Step 101000
Episodic Return: 69.12521362304688, Time Step 102000
Episodic Return: 72.82502746582031, Time Step 103000
Episodic Return: 70.38004302978516, Time Step 104000
Episodic Return: 96.91779327392578, Time Step 105000
Episodic Return: 90.13704681396484, Time Step 106000
Episodic Return: 67.77252197265625, Time Step 107000
Episodic Return: 90.2555923461914, Time Step 108000
Episodic Return: 50.94482421875, Time Step 109000
Episodic Return: 64.72918701171875, Time Step 110000
Episodic Return: 79.69198608398438, Time Step 111000
Episodic Return: 91.89779663085938, Time Step 112000
Episodic Return: 61.63087463378906, Time Step 113000
Episodic Return: 131.49911499023438, Time Step 114000
Episodic Return: 8.323951721191406, Time Step 115000
Episodic Return: 73.14498138427734, Time Step 116000
Episodic Return: 28.8508243560791, Time Step 117000
Episodic Return: 81.8760986328125, Time Step 118000
Episodic Return: 35.80154037475586, Time Step 119000
Episodic Return: 61.10513687133789, Time Step 120000
Episodic Return: 111.03478240966797, Time Step 121000
Episodic Return: 30.725711822509766, Time Step 122000
Episodic Return: 56.42143630981445, Time Step 123000
Episodic Return: 103.4602279663086, Time Step 124000
Episodic Return: 58.05797576904297, Time Step 125000
Episodic Return: 134.73216247558594, Time Step 126000
Episodic Return: 35.22538375854492, Time Step 127000
Episodic Return: 51.2328987121582, Time Step 128000
Episodic Return: 104.48130798339844, Time Step 129000
